# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 1.12500000e-02
# lRef          : 1.00000000e-01
# Aref          : 1.00000000e-02
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
0.25            	9.73938522e+01	4.86969261e+01	4.86969261e+01	-9.45392491e-02	-2.43581416e+02	2.43486877e+02	-2.43534146e+02	1.39593529e-09	-4.71419869e-10	4.71543370e-10	-2.35648184e-10	7.07191554e-10
0.5             	-3.72623064e+01	-1.86311532e+01	-1.86311532e+01	1.49387538e-02	9.31644213e+01	-9.31494826e+01	9.31569520e+01	1.85020937e-09	-6.08864010e-10	6.17639483e-10	-3.00044269e-10	9.17683752e-10
0.75            	5.91957981e+00	2.95978991e+00	2.95978990e+00	-1.57865493e-02	-1.48137447e+01	1.47979581e+01	-1.48058514e+01	1.84377502e-09	-5.98102091e-10	6.12896063e-10	-2.91654060e-10	9.04550123e-10
1               	4.15834774e+00	2.07917387e+00	2.07917387e+00	-1.17238211e-02	-1.04089380e+01	1.03972142e+01	-1.04030761e+01	1.79367401e-09	-5.75074959e-10	5.94585096e-10	-2.77782411e-10	8.72367507e-10
1.25            	3.82929914e+00	1.91464957e+00	1.91464957e+00	-1.26235096e-02	-9.58734448e+00	9.57472097e+00	-9.58103273e+00	1.75836602e-09	-5.58299966e-10	5.81752781e-10	-2.67423576e-10	8.49176357e-10
1.5             	3.53142357e+00	1.76571178e+00	1.76571178e+00	-1.30267028e-02	-8.84328054e+00	8.83025383e+00	-8.83676719e+00	1.75650014e-09	-5.52995967e-10	5.80336682e-10	-2.62827626e-10	8.43164308e-10
1.75            	3.29617579e+00	1.64808790e+00	1.64808789e+00	-1.26895954e-02	-8.25455775e+00	8.24186815e+00	-8.24821295e+00	1.78439404e-09	-5.57546532e-10	5.88970822e-10	-2.63061121e-10	8.52031943e-10
2               	3.11734080e+00	1.55867040e+00	1.55867040e+00	-1.38770398e-02	-7.80877190e+00	7.79489486e+00	-7.80183338e+00	1.83095723e-09	-5.68082903e-10	6.03856967e-10	-2.66154419e-10	8.70011387e-10
2.25            	2.98254376e+00	1.49127188e+00	1.49127188e+00	-1.45792860e-02	-7.47261093e+00	7.45803164e+00	-7.46532128e+00	1.88700089e-09	-5.81453106e-10	6.21883838e-10	-2.70511187e-10	8.92395025e-10
2.5             	2.87221958e+00	1.43610979e+00	1.43610979e+00	-1.51964578e-02	-7.19737796e+00	7.18218150e+00	-7.18977973e+00	1.94656483e-09	-5.95625117e-10	6.41043930e-10	-2.75103152e-10	9.16147082e-10
2.75            	2.77957626e+00	1.38978813e+00	1.38978813e+00	-1.59516774e-02	-6.96647522e+00	6.95052354e+00	-6.95849938e+00	2.00723918e-09	-6.09731859e-10	6.60526066e-10	-2.79468826e-10	9.39994892e-10
3               	2.70031642e+00	1.35015821e+00	1.35015821e+00	-1.65764819e-02	-6.76894364e+00	6.75236715e+00	-6.76065540e+00	2.06868044e-09	-6.23596649e-10	6.80214107e-10	-2.83489595e-10	9.63703702e-10
3.25            	2.63131864e+00	1.31565932e+00	1.31565932e+00	-1.68190134e-02	-6.59646887e+00	6.57964986e+00	-6.58805936e+00	2.13086920e-09	-6.37172054e-10	7.00107197e-10	-2.87118456e-10	9.87225653e-10
3.5             	2.57143969e+00	1.28571985e+00	1.28571984e+00	-1.77966116e-02	-6.44780961e+00	6.43001299e+00	-6.43891130e+00	2.19386226e-09	-6.50442140e-10	7.20233129e-10	-2.90325576e-10	1.01055870e-09
3.75            	2.51796925e+00	1.25898463e+00	1.25898462e+00	-1.84456068e-02	-6.31476590e+00	6.29632029e+00	-6.30554310e+00	2.25770850e-09	-6.63404078e-10	7.40618512e-10	-2.93094822e-10	1.03371333e-09
4               	2.47143014e+00	1.23571507e+00	1.23571507e+00	-1.94341904e-02	-6.19933701e+00	6.17990282e+00	-6.18961992e+00	2.32246757e-09	-6.76057935e-10	7.61293136e-10	-2.95411367e-10	1.05670450e-09
4.25            	2.42865304e+00	1.21432652e+00	1.21432652e+00	-2.02297515e-02	-6.09314123e+00	6.07291148e+00	-6.08302636e+00	2.38820776e-09	-6.88402124e-10	7.82287661e-10	-2.97258294e-10	1.07954596e-09
4.5             	2.38972048e+00	1.19486024e+00	1.19486024e+00	-2.04623120e-02	-5.99606406e+00	5.97560175e+00	-5.98583291e+00	2.45498369e-09	-7.00436373e-10	8.03626969e-10	-2.98622888e-10	1.10224986e-09
4.75            	2.35341244e+00	1.17670622e+00	1.17670622e+00	-2.12102710e-02	-5.90600732e+00	5.88479704e+00	-5.89540218e+00	2.52283961e-09	-7.12165489e-10	8.25332534e-10	-2.99499222e-10	1.12483176e-09
5               	2.31965106e+00	1.15982553e+00	1.15982553e+00	-2.19408528e-02	-5.82227354e+00	5.80033269e+00	-5.81130312e+00	2.59178596e-09	-7.23587084e-10	8.47411963e-10	-2.99881102e-10	1.14729307e-09
5.25            	2.28813335e+00	1.14406668e+00	1.14406667e+00	-2.27107565e-02	-5.74425467e+00	5.72154392e+00	-5.73289930e+00	2.66180736e-09	-7.34694180e-10	8.69863197e-10	-2.99762581e-10	1.16962578e-09
5.5             	2.25838370e+00	1.12919186e+00	1.12919185e+00	-2.33916875e-02	-5.67051322e+00	5.64712153e+00	-5.65881738e+00	2.73284840e-09	-7.45475773e-10	8.92666046e-10	-2.99142749e-10	1.19180880e-09
5.75            	2.23055428e+00	1.11527715e+00	1.11527714e+00	-2.41621205e-02	-5.60166345e+00	5.57750133e+00	-5.58958239e+00	2.80485633e-09	-7.55919596e-10	9.15806157e-10	-2.98016517e-10	1.21382267e-09
6               	2.20437966e+00	1.10218983e+00	1.10218982e+00	-2.49718065e-02	-5.53704205e+00	5.51207024e+00	-5.52455614e+00	2.87765928e-09	-7.66017860e-10	9.39227614e-10	-2.96404053e-10	1.23563167e-09
6.25            	2.17958007e+00	1.08979004e+00	1.08979003e+00	-2.56806767e-02	-5.47568520e+00	5.45000452e+00	-5.46284486e+00	2.95107739e-09	-7.75764649e-10	9.62873531e-10	-2.94327884e-10	1.25720141e-09
6.5             	2.15589859e+00	1.07794930e+00	1.07794929e+00	-2.64755777e-02	-5.41727963e+00	5.39080405e+00	-5.40404184e+00	3.02487714e-09	-7.85150949e-10	9.86666814e-10	-2.91817542e-10	1.27848436e-09
6.75            	2.13358989e+00	1.06679495e+00	1.06679494e+00	-2.73656414e-02	-5.36237409e+00	5.33500844e+00	-5.34869126e+00	3.09878290e-09	-7.94168732e-10	1.01051686e-09	-2.88910301e-10	1.29942716e-09
7               	2.11226987e+00	1.05613494e+00	1.05613493e+00	-2.83381978e-02	-5.31002501e+00	5.28168681e+00	-5.29585591e+00	3.17247566e-09	-8.02813889e-10	1.03431906e-09	-2.85654361e-10	1.31997342e-09
7.25            	2.09196092e+00	1.04598046e+00	1.04598046e+00	-2.92719049e-02	-5.26013574e+00	5.23086384e+00	-5.24549979e+00	3.24557753e-09	-8.11084525e-10	1.05794664e-09	-2.82111205e-10	1.34005785e-09
7.5             	2.07269026e+00	1.03634513e+00	1.03634513e+00	-3.01091408e-02	-5.21275067e+00	5.18264153e+00	-5.19769610e+00	3.31767970e-09	-8.18978642e-10	1.08126285e-09	-2.78347215e-10	1.35961007e-09
7.75            	2.05464824e+00	1.02732412e+00	1.02732412e+00	-3.10354564e-02	-5.16851302e+00	5.13747756e+00	-5.15299529e+00	3.38839421e-09	-8.26502634e-10	1.10414085e-09	-2.74432211e-10	1.37857306e-09
8               	2.03763885e+00	1.01881943e+00	1.01881942e+00	-3.20012000e-02	-5.12689867e+00	5.09489747e+00	-5.11089807e+00	3.45733493e-09	-8.33668143e-10	1.12645507e-09	-2.70440607e-10	1.39689568e-09
8.25            	2.02183850e+00	1.01091926e+00	1.01091925e+00	-3.30252003e-02	-5.08836001e+00	5.05533481e+00	-5.07184741e+00	3.52412672e-09	-8.40491034e-10	1.14808346e-09	-2.66449306e-10	1.41453276e-09
8.5             	2.00715980e+00	1.00357990e+00	1.00357990e+00	-3.39583396e-02	-5.05250601e+00	5.01854767e+00	-5.03552684e+00	3.58841105e-09	-8.46988492e-10	1.16890884e-09	-2.62534072e-10	1.43144291e-09
8.75            	1.99332618e+00	9.96663095e-01	9.96663088e-01	-3.50571842e-02	-5.01895333e+00	4.98389615e+00	-5.00142474e+00	3.64986852e-09	-8.53180614e-10	1.18882670e-09	-2.58767263e-10	1.44759397e-09
9               	1.98060068e+00	9.90300342e-01	9.90300335e-01	-3.60731004e-02	-4.98807739e+00	4.95200429e+00	-4.97004084e+00	3.70823159e-09	-8.59089565e-10	1.20774953e-09	-2.55214800e-10	1.46296433e-09
9.25            	1.96880906e+00	9.84404535e-01	9.84404527e-01	-3.72376612e-02	-4.95968199e+00	4.92244433e+00	-4.94106316e+00	3.76329506e-09	-8.64739325e-10	1.22561038e-09	-2.51934133e-10	1.47754452e-09
9.5             	1.95807488e+00	9.79037444e-01	9.79037436e-01	-3.83150371e-02	-4.93383766e+00	4.89552262e+00	-4.91468014e+00	3.81492299e-09	-8.70154505e-10	1.24236522e-09	-2.48971897e-10	1.49133711e-09
9.75            	1.94818652e+00	9.74093264e-01	9.74093256e-01	-3.95209782e-02	-4.91023601e+00	4.87071503e+00	-4.89047552e+00	3.86304582e-09	-8.75361267e-10	1.25799198e-09	-2.46365274e-10	1.50435726e-09
10              	1.93919008e+00	9.69595042e-01	9.69595034e-01	-4.06760174e-02	-4.88882190e+00	4.84814588e+00	-4.86848389e+00	3.90765991e-09	-8.80385808e-10	1.27249045e-09	-2.44140582e-10	1.51663103e-09
10.25           	1.93088883e+00	9.65444418e-01	9.65444410e-01	-4.19268538e-02	-4.86923917e+00	4.82731232e+00	-4.84827574e+00	3.94882346e-09	-8.85254288e-10	1.28588069e-09	-2.42313944e-10	1.52819463e-09
10.5            	1.92337715e+00	9.61688580e-01	9.61688572e-01	-4.32361940e-02	-4.85167828e+00	4.80844208e+00	-4.83006018e+00	3.98665044e-09	-8.89991532e-10	1.29820132e-09	-2.40890872e-10	1.53909219e-09
10.75           	1.91643748e+00	9.58218744e-01	9.58218736e-01	-4.43940219e-02	-4.83542322e+00	4.79102919e+00	-4.81322620e+00	4.02129972e-09	-8.94620270e-10	1.30950561e-09	-2.39867466e-10	1.54937307e-09
11              	1.91027045e+00	9.55135228e-01	9.55135220e-01	-4.55639929e-02	-4.82110977e+00	4.77554578e+00	-4.79832778e+00	4.05296464e-09	-8.99161240e-10	1.31985796e-09	-2.39232260e-10	1.55909022e-09
11.25           	1.90469994e+00	9.52349974e-01	9.52349966e-01	-4.66956477e-02	-4.80824052e+00	4.76154487e+00	-4.78489270e+00	4.08186250e-09	-9.03632996e-10	1.32933045e-09	-2.38967769e-10	1.56829822e-09
11.5            	1.89972111e+00	9.49860558e-01	9.49860549e-01	-4.79237740e-02	-4.79694736e+00	4.74902359e+00	-4.77298547e+00	4.10822861e-09	-9.08051973e-10	1.33800098e-09	-2.39051484e-10	1.57705246e-09
11.75           	1.89525329e+00	9.47626649e-01	9.47626640e-01	-4.91632775e-02	-4.78693454e+00	4.73777126e+00	-4.76235290e+00	4.13230777e-09	-9.12432388e-10	1.34595054e-09	-2.39457119e-10	1.58540766e-09
12              	1.89128058e+00	9.45640292e-01	9.45640284e-01	-5.04997282e-02	-4.77825617e+00	4.72775644e+00	-4.75300631e+00	4.15434362e-09	-9.16786428e-10	1.35325964e-09	-2.40156606e-10	1.59341625e-09
12.25           	1.88767994e+00	9.43839976e-01	9.43839968e-01	-5.19502847e-02	-4.77061802e+00	4.71866774e+00	-4.74464288e+00	4.17457035e-09	-9.21124231e-10	1.36000537e-09	-2.41121544e-10	1.60112692e-09
12.5            	1.88421926e+00	9.42109636e-01	9.42109628e-01	-5.31810078e-02	-4.76317730e+00	4.70999630e+00	-4.73658680e+00	4.19320915e-09	-9.25453646e-10	1.36626038e-09	-2.42323457e-10	1.60858383e-09
12.75           	1.88124186e+00	9.40620933e-01	9.40620925e-01	-5.44701780e-02	-4.75697196e+00	4.70250178e+00	-4.72973687e+00	4.21046275e-09	-9.29780879e-10	1.37209117e-09	-2.43735297e-10	1.61582646e-09
13              	1.87839031e+00	9.39195161e-01	9.39195152e-01	-5.57442780e-02	-4.75105476e+00	4.69531048e+00	-4.72318262e+00	4.22651336e-09	-9.34110509e-10	1.37755734e-09	-2.45331841e-10	1.62288918e-09
13.25           	1.87564750e+00	9.37823752e-01	9.37823744e-01	-5.71069844e-02	-4.74547537e+00	4.68836839e+00	-4.71692188e+00	4.24152453e-09	-9.38445922e-10	1.38271226e-09	-2.47089792e-10	1.62980205e-09
13.5            	1.87318370e+00	9.36591855e-01	9.36591846e-01	-5.83266762e-02	-4.74049996e+00	4.68217328e+00	-4.71133662e+00	4.25564249e-09	-9.42789161e-10	1.38760348e-09	-2.48987419e-10	1.63659090e-09
13.75           	1.87092628e+00	9.35463143e-01	9.35463134e-01	-5.95699776e-02	-4.73606810e+00	4.67649813e+00	-4.70628312e+00	4.26899792e-09	-9.47141381e-10	1.39227336e-09	-2.51004700e-10	1.64327806e-09
14              	1.86880861e+00	9.34404308e-01	9.34404300e-01	-6.07964764e-02	-4.73196442e+00	4.67116794e+00	-4.70156618e+00	4.28170505e-09	-9.51503051e-10	1.39675872e-09	-2.53123689e-10	1.64988241e-09
14.25           	1.86678065e+00	9.33390329e-01	9.33390320e-01	-6.20867166e-02	-4.72815677e+00	4.66607005e+00	-4.69711341e+00	4.29386313e-09	-9.55874252e-10	1.40109144e-09	-2.55328532e-10	1.65641997e-09
14.5            	1.86493394e+00	9.32466976e-01	9.32466968e-01	-6.33384964e-02	-4.72476078e+00	4.66142228e+00	-4.69309153e+00	4.30555769e-09	-9.60254530e-10	1.40529877e-09	-2.57605145e-10	1.66290392e-09
14.75           	1.86314983e+00	9.31574918e-01	9.31574909e-01	-6.45949609e-02	-4.72153331e+00	4.65693835e+00	-4.68923583e+00	4.31686228e-09	-9.64643082e-10	1.40940397e-09	-2.59941100e-10	1.66934507e-09
15              	1.86149145e+00	9.30745728e-01	9.30745720e-01	-6.58568966e-02	-4.71862649e+00	4.65276959e+00	-4.68569804e+00	4.32784024e-09	-9.69038810e-10	1.41342689e-09	-2.62325367e-10	1.67575225e-09
15.25           	1.85989063e+00	9.29945321e-01	9.29945312e-01	-6.71312525e-02	-4.71587659e+00	4.64874533e+00	-4.68231096e+00	4.33854612e-09	-9.73440373e-10	1.41738447e-09	-2.64748139e-10	1.68213261e-09
15.5            	1.85826634e+00	9.29133174e-01	9.29133165e-01	-6.83508570e-02	-4.71301571e+00	4.64466485e+00	-4.67884028e+00	4.34902601e-09	-9.77846142e-10	1.42129084e-09	-2.67200722e-10	1.68849156e-09
15.75           	1.85681018e+00	9.28405092e-01	9.28405083e-01	-6.95738699e-02	-4.71057231e+00	4.64099844e+00	-4.67578537e+00	4.35931883e-09	-9.82254409e-10	1.42515777e-09	-2.69675523e-10	1.69483329e-09
16              	1.85532573e+00	9.27662867e-01	9.27662859e-01	-7.07863664e-02	-4.70805505e+00	4.63726869e+00	-4.67266187e+00	4.36945677e-09	-9.86663290e-10	1.42899479e-09	-2.72165897e-10	1.70116068e-09
16.25           	1.85387298e+00	9.26936496e-01	9.26936487e-01	-7.20220523e-02	-4.70563825e+00	4.63361619e+00	-4.66962722e+00	4.37946657e-09	-9.91070919e-10	1.43280962e-09	-2.74666111e-10	1.70747573e-09
16.5            	1.85243364e+00	9.26216826e-01	9.26216818e-01	-7.32374006e-02	-4.70323672e+00	4.62999932e+00	-4.66661802e+00	4.38937051e-09	-9.95475568e-10	1.43660853e-09	-2.77171305e-10	1.71377983e-09
16.75           	1.85106985e+00	9.25534928e-01	9.25534919e-01	-7.45033551e-02	-4.70103487e+00	4.62653151e+00	-4.66378319e+00	4.39918738e-09	-9.99875684e-10	1.44039667e-09	-2.79677349e-10	1.72007402e-09
17              	1.84981381e+00	9.24906908e-01	9.24906899e-01	-7.56489979e-02	-4.69905159e+00	4.62340259e+00	-4.66122709e+00	4.40893563e-09	-1.00426952e-09	1.44417914e-09	-2.82179946e-10	1.72635909e-09
17.25           	1.84852368e+00	9.24261842e-01	9.24261833e-01	-7.68558892e-02	-4.69701018e+00	4.62015429e+00	-4.65858224e+00	4.41862411e-09	-1.00865548e-09	1.44795786e-09	-2.84676552e-10	1.73263441e-09
17.5            	1.84718021e+00	9.23590110e-01	9.23590101e-01	-7.80951613e-02	-4.69487112e+00	4.61677596e+00	-4.65582354e+00	4.42825148e-09	-1.01303207e-09	1.45173142e-09	-2.87166361e-10	1.73889778e-09
17.75           	1.84590637e+00	9.22953189e-01	9.22953181e-01	-7.92539004e-02	-4.69282756e+00	4.61357366e+00	-4.65320061e+00	4.43782009e-09	-1.01739774e-09	1.45549965e-09	-2.89647917e-10	1.74514757e-09
18              	1.84461762e+00	9.22308815e-01	9.22308806e-01	-8.04182762e-02	-4.69074966e+00	4.61033138e+00	-4.65054052e+00	4.44734149e-09	-1.02175116e-09	1.45926551e-09	-2.92118406e-10	1.75138392e-09
18.25           	1.84331086e+00	9.21655435e-01	9.21655426e-01	-8.15821890e-02	-4.68862886e+00	4.60704667e+00	-4.64783777e+00	4.45682482e-09	-1.02609109e-09	1.46303120e-09	-2.94575488e-10	1.75760669e-09
18.5            	1.84201280e+00	9.21006405e-01	9.21006396e-01	-8.27226493e-02	-4.68649965e+00	4.60377700e+00	-4.64513833e+00	4.46627561e-09	-1.03041631e-09	1.46679776e-09	-2.97017430e-10	1.76381519e-09
18.75           	1.84064572e+00	9.20322865e-01	9.20322856e-01	-8.38424090e-02	-4.68419263e+00	4.60035022e+00	-4.64227142e+00	4.47569647e-09	-1.03472564e-09	1.47056522e-09	-2.99443032e-10	1.77000825e-09
19              	1.83935293e+00	9.19676470e-01	9.19676461e-01	-8.49917077e-02	-4.68209294e+00	4.59710123e+00	-4.63959708e+00	4.48508923e-09	-1.03901810e-09	1.47433347e-09	-3.01851362e-10	1.77618483e-09
19.25           	1.83802760e+00	9.19013806e-01	9.19013797e-01	-8.61395608e-02	-4.67989447e+00	4.59375491e+00	-4.63682469e+00	4.49445571e-09	-1.04329282e-09	1.47810242e-09	-3.04241611e-10	1.78234403e-09
19.5            	1.83673803e+00	9.18369020e-01	9.18369011e-01	-8.72440154e-02	-4.67774857e+00	4.59050456e+00	-4.63412656e+00	4.50379529e-09	-1.04754890e-09	1.48187119e-09	-3.06613304e-10	1.78848450e-09
19.75           	1.83545467e+00	9.17727339e-01	9.17727330e-01	-8.83251012e-02	-4.67559385e+00	4.58726875e+00	-4.63143130e+00	4.51310809e-09	-1.05178553e-09	1.48563920e-09	-3.08965928e-10	1.79460512e-09
20              	1.83415348e+00	9.17076742e-01	9.17076733e-01	-8.94156529e-02	-4.67340445e+00	4.58398879e+00	-4.62869662e+00	4.52239427e-09	-1.05600194e-09	1.48940586e-09	-3.11299012e-10	1.80070487e-09
20.25           	1.83288815e+00	9.16444079e-01	9.16444070e-01	-9.04939977e-02	-4.67128492e+00	4.58079093e+00	-4.62603793e+00	4.53165389e-09	-1.06019747e-09	1.49317064e-09	-3.13612150e-10	1.80678279e-09
20.5            	1.83158752e+00	9.15793766e-01	9.15793757e-01	-9.15612779e-02	-4.66906722e+00	4.57750594e+00	-4.62328658e+00	4.54088684e-09	-1.06437151e-09	1.49693294e-09	-3.15905041e-10	1.81283798e-09
20.75           	1.83028638e+00	9.15143192e-01	9.15143183e-01	-9.26024944e-02	-4.66682286e+00	4.57422036e+00	-4.62052161e+00	4.55009264e-09	-1.06852355e-09	1.50069209e-09	-3.18177507e-10	1.81886960e-09
21              	1.82896761e+00	9.14483812e-01	9.14483803e-01	-9.36437260e-02	-4.66453279e+00	4.57088907e+00	-4.61771093e+00	4.55927003e-09	-1.07265313e-09	1.50444716e-09	-3.20429547e-10	1.82487670e-09
21.25           	1.82761059e+00	9.13805300e-01	9.13805291e-01	-9.46596198e-02	-4.66212045e+00	4.56746083e+00	-4.61479064e+00	4.56842163e-09	-1.07675983e-09	1.50819853e-09	-3.22660561e-10	1.83085909e-09
21.5            	1.82629011e+00	9.13145059e-01	9.13145050e-01	-9.56958218e-02	-4.65982247e+00	4.56412665e+00	-4.61197456e+00	4.57755183e-09	-1.08084336e-09	1.51194724e-09	-3.24869743e-10	1.83681698e-09
21.75           	1.82492387e+00	9.12461941e-01	9.12461932e-01	-9.67255821e-02	-4.65740176e+00	4.56067618e+00	-4.60903897e+00	4.58665659e-09	-1.08490341e-09	1.51569150e-09	-3.27057659e-10	1.84274916e-09
22              	1.82361330e+00	9.11806653e-01	9.11806644e-01	-9.77098992e-02	-4.65507185e+00	4.55736195e+00	-4.60621690e+00	4.59573163e-09	-1.08893955e-09	1.51942946e-09	-3.29224819e-10	1.84865428e-09
