# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 1.12500000e-02
# lRef          : 1.00000000e-01
# Aref          : 1.00000000e-02
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
2006            	1.75854836e+00	8.79274194e-01	8.79274164e-01	-1.35917053e-01	4.22392176e+00	-4.35983881e+00	4.29188029e+00	1.50454999e-08	3.84954405e-09	-5.00173091e-09	1.34867859e-09	-6.35040950e-09
2006.25         	1.75908664e+00	8.79543334e-01	8.79543304e-01	-1.42151712e-01	4.21874816e+00	-4.36089987e+00	4.28982402e+00	1.50393699e-08	3.84771015e-09	-4.99958888e-09	1.34791571e-09	-6.34750459e-09
2006.5          	1.75964862e+00	8.79824326e-01	8.79824296e-01	-1.48247577e-01	4.21378335e+00	-4.36203092e+00	4.28790714e+00	1.50332847e-08	3.84583568e-09	-4.99745078e-09	1.34711028e-09	-6.34456107e-09
2006.75         	1.76016730e+00	8.80083667e-01	8.80083637e-01	-1.54219180e-01	4.20884807e+00	-4.36306725e+00	4.28595766e+00	1.50272458e-08	3.84392174e-09	-4.99531707e-09	1.34626321e-09	-6.34158027e-09
2007            	1.76072147e+00	8.80360751e-01	8.80360721e-01	-1.60045316e-01	4.20415834e+00	-4.36420365e+00	4.28418100e+00	1.50212543e-08	3.84196947e-09	-4.99318787e-09	1.34537554e-09	-6.33856341e-09
2007.25         	1.76122821e+00	8.80614121e-01	8.80614091e-01	-1.65711398e-01	4.19952671e+00	-4.36523811e+00	4.28238241e+00	1.50153137e-08	3.83998010e-09	-4.99106438e-09	1.34444791e-09	-6.33551229e-09
2007.5          	1.76173972e+00	8.80869874e-01	8.80869844e-01	-1.71207756e-01	4.19508857e+00	-4.36629633e+00	4.28069245e+00	1.50094314e-08	3.83795516e-09	-4.98894917e-09	1.34348057e-09	-6.33242975e-09
2007.75         	1.76224735e+00	8.81123689e-01	8.81123659e-01	-1.76539536e-01	4.19081854e+00	-4.36735808e+00	4.27908831e+00	1.50036120e-08	3.83589641e-09	-4.98684398e-09	1.34247443e-09	-6.32931840e-09
2008            	1.76275692e+00	8.81378474e-01	8.81378444e-01	-1.81689841e-01	4.18674940e+00	-4.36843924e+00	4.27759432e+00	1.49978587e-08	3.83380537e-09	-4.98474987e-09	1.34143044e-09	-6.32618030e-09
2008.25         	1.76321911e+00	8.81609570e-01	8.81609540e-01	-1.86664140e-01	4.18275157e+00	-4.36941571e+00	4.27608364e+00	1.49921778e-08	3.83168358e-09	-4.98266908e-09	1.34034904e-09	-6.32301812e-09
2008.5          	1.76369449e+00	8.81847262e-01	8.81847232e-01	-1.91493673e-01	4.17894278e+00	-4.37043645e+00	4.27468962e+00	1.49865755e-08	3.82953241e-09	-4.98060392e-09	1.33923045e-09	-6.31983437e-09
2008.75         	1.76415983e+00	8.82079932e-01	8.82079902e-01	-1.96148562e-01	4.17529823e+00	-4.37144679e+00	4.27337251e+00	1.49810569e-08	3.82735323e-09	-4.97855618e-09	1.33807514e-09	-6.31663132e-09
2009            	1.76463781e+00	8.82318920e-01	8.82318890e-01	-2.00657677e-01	4.17184221e+00	-4.37249989e+00	4.27217105e+00	1.49756252e-08	3.82514728e-09	-4.97652706e-09	1.33688375e-09	-6.31341081e-09
2009.25         	1.76507004e+00	8.82535035e-01	8.82535005e-01	-2.04944797e-01	4.16850879e+00	-4.37345358e+00	4.27098119e+00	1.49702841e-08	3.82291609e-09	-4.97451789e-09	1.33565715e-09	-6.31017504e-09
2009.5          	1.76551224e+00	8.82756136e-01	8.82756106e-01	-2.09076593e-01	4.16536715e+00	-4.37444375e+00	4.26990545e+00	1.49650374e-08	3.82066126e-09	-4.97253009e-09	1.33439622e-09	-6.30692630e-09
2009.75         	1.76593230e+00	8.82966163e-01	8.82966133e-01	-2.13011324e-01	4.16238405e+00	-4.37539538e+00	4.26888971e+00	1.49598871e-08	3.81838427e-09	-4.97056442e-09	1.33310206e-09	-6.30366649e-09
2010            	1.76633318e+00	8.83166603e-01	8.83166573e-01	-2.16777224e-01	4.15953818e+00	-4.37631540e+00	4.26792679e+00	1.49548384e-08	3.81608654e-09	-4.96862278e-09	1.33177514e-09	-6.30039793e-09
2010.25         	1.76673530e+00	8.83367664e-01	8.83367634e-01	-2.20341383e-01	4.15690889e+00	-4.37725028e+00	4.26707958e+00	1.49498959e-08	3.81376957e-09	-4.96670691e-09	1.33041612e-09	-6.29712303e-09
