# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 1.12500000e-02
# lRef          : 1.00000000e-01
# Aref          : 1.00000000e-02
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
0.25            	9.73973896e+01	4.86986948e+01	4.86986948e+01	1.02188363e-01	2.43597603e+02	-2.43495415e+02	2.43546509e+02	2.56648049e-09	7.08709508e-10	-7.24295737e-10	3.46561640e-10	-1.07085738e-09
0.5             	-3.72665192e+01	-1.86332596e+01	-1.86332596e+01	-2.29987631e-02	-9.31832171e+01	9.31602183e+01	-9.31717177e+01	3.42098013e-09	9.46382270e-10	-9.52568206e-10	4.70098167e-10	-1.42266637e-09
0.75            	5.91938478e+00	2.95969239e+00	2.95969239e+00	2.03574073e-02	1.48178147e+01	-1.47974573e+01	1.48076360e+01	3.44712173e-09	9.46766110e-10	-9.53973467e-10	4.69779376e-10	-1.42375284e-09
1               	4.15793435e+00	2.07896718e+00	2.07896717e+00	1.06410327e-02	1.04067834e+01	-1.03961424e+01	1.04014629e+01	3.38292932e-09	9.20184575e-10	-9.31410412e-10	4.54479369e-10	-1.38588978e-09
1.25            	3.82853571e+00	1.91426786e+00	1.91426785e+00	1.25120082e-02	9.58531587e+00	-9.57280386e+00	9.57905987e+00	3.34170700e-09	8.99005027e-10	-9.16326540e-10	4.40841757e-10	-1.35716830e-09
1.5             	3.53088957e+00	1.76544479e+00	1.76544478e+00	1.28775296e-02	8.84179287e+00	-8.82891535e+00	8.83535411e+00	3.36060467e-09	8.93409143e-10	-9.18535336e-10	4.34141475e-10	-1.35267681e-09
1.75            	3.29583431e+00	1.64791716e+00	1.64791715e+00	1.25266347e-02	8.25353602e+00	-8.24100939e+00	8.24727271e+00	3.43552650e-09	9.02404325e-10	-9.36667172e-10	4.34070739e-10	-1.37073791e-09
2               	3.11733187e+00	1.55866594e+00	1.55866593e+00	1.36794572e-02	7.80855485e+00	-7.79487540e+00	7.80171513e+00	3.54418688e-09	9.19943142e-10	-9.64288915e-10	4.37798684e-10	-1.40208760e-09
2.25            	2.98253581e+00	1.49126791e+00	1.49126790e+00	1.44571000e-02	7.47247079e+00	-7.45801369e+00	7.46524224e+00	3.66843417e-09	9.41107405e-10	-9.96270415e-10	4.42972198e-10	-1.43924261e-09
2.5             	2.87216435e+00	1.43608218e+00	1.43608217e+00	1.51163953e-02	7.19715980e+00	-7.18204340e+00	7.18960160e+00	3.79949956e-09	9.63669728e-10	-1.03032382e-09	4.48507819e-10	-1.47883164e-09
